,index,spotify_artist_id,list_original_name,music_story_id,instagram_url,instagram_username,facebook_url,facebook_username,twitter_url,twitter_username,instagram_followers,instagram_data
384,385,0NIPkIjTV8mB795yEIiPYL,"""Wallows""",,,,,,,,-1,
385,386,2JbE7jUIGtpXSzytnyMg6U,"""Curtis Waters""",,,,,,,,-1,
388,389,2SrSdSvpminqmStGELCSNd,"""Stormzy""",4567095,,,,,,,-1,
389,390,3klZnJvYGIbWritVwQD434,"""Duncan Laurence""",,,,,,,,-1,
392,393,2cWZOOzeOm4WmBJRnD5R7I,"""Normani""",,,,,,,,-1,
395,396,2hlmm7s2ICUX0LVIhVFlZQ,"""Gunna""",,,,,,,,-1,
400,401,4fxd5Ee7UefO4CUXgwJ7IP,"""Giveon""",,,,,,,,-1,
402,403,5KEG7G8LDYlHgFDqZyEEs2,"""Chris Rea""",1900,,,,,,,-1,
404,405,3gIRvgZssIb9aiirIg0nI3,"""Jeremy Zucker""",,,,,,,,-1,
405,406,77qukKzmdI5BeMBR7WGUrN,"""Aaron Smith""",4568597,,,,,,,-1,
406,407,0NnUMWDCDi1snuMja6IdxH,"""Harry Nach""",,,,,,,,-1,
407,408,3yzRiNMZdTsSUgplcyYZ4i,"""Blanco Brown""",4724377,,,,,,,-1,
411,412,7nKeLE1toRtW4M279iS26h,"""Zay Hilfigerrr""",,,,,,,,-1,
416,417,1wZtkThiXbVNtj6hee6dz9,"""Wisin & Yandel""",122811,,,,,,,-1,
418,419,3QJUFtGBGL05vo0kCJZsmT,"""salem ilese""",,,,,,,,-1,
421,422,4ScCswdRlyA23odg9thgIO,"""Jess Glynne""",4556255,http://instagram.com/jessglynne,jessglynne,,,,,-1,
422,423,73jBynjsVtofjRpdpRAJGk,"""Dimitri Vegas & Like Mike""",155652,,,,,,,-1,
424,425,46GXASE9LHzyssNqKOInUu,"""Dawin""",4573265,,,,,,,-1,
428,429,0eHQ9o50hj6ZDNBt6Ys1sD,"""Yandel""",4483196,,,,,,,-1,
429,430,4LcUpNlXFEleaLlelmkv2R,"""Kris Kross Amsterdam""",105390,,,,,,,-1,
432,433,0HkcYmcjrBR3SCw9Ld5VZk,"""Calboy""",4719168,,,,,,,-1,
434,435,33ScadVnbm2X8kkUqOkC6Z,"""Don Omar""",7662,,,,,,,-1,
436,437,0wi4yTYlGtEnbGo4ltZTib,"""Shakin' Stevens""",,,,,,,,-1,
438,439,2cy1zPcrFcXAJTP0APWewL,"""Gente De Zona""",151813,,,,,,,-1,
